time,value
2026-03-30 15:05:00-07:00,303
2026-03-30 15:10:00-07:00,310
2026-03-30 15:15:00-07:00,324
2026-03-30 15:20:00-07:00,328
2026-03-30 15:25:00-07:00,307
2026-03-30 15:30:00-07:00,325
2026-03-30 15:35:00-07:00,306
2026-03-30 15:40:00-07:00,303
2026-03-30 15:45:00-07:00,317
2026-03-30 15:50:00-07:00,343
2026-03-30 15:55:00-07:00,286
2026-03-30 16:00:00-07:00,338
2026-03-30 16:05:00-07:00,301
2026-03-30 16:10:00-07:00,320
2026-03-30 16:15:00-07:00,355
2026-03-30 16:20:00-07:00,331
2026-03-30 16:25:00-07:00,328
2026-03-30 16:30:00-07:00,295
2026-03-30 16:35:00-07:00,313
2026-03-30 16:40:00-07:00,300
2026-03-30 16:45:00-07:00,328
2026-03-30 16:50:00-07:00,323
2026-03-30 16:55:00-07:00,324
2026-03-30 17:00:00-07:00,318
2026-03-30 17:05:00-07:00,302
2026-03-30 17:10:00-07:00,338
2026-03-30 17:15:00-07:00,320
2026-03-30 17:20:00-07:00,303
2026-03-30 17:25:00-07:00,310
2026-03-30 17:30:00-07:00,324
2026-03-30 17:35:00-07:00,310
2026-03-30 17:40:00-07:00,321
2026-03-30 17:45:00-07:00,297
2026-03-30 17:50:00-07:00,326
2026-03-30 17:55:00-07:00,290
2026-03-30 18:00:00-07:00,321
2026-03-30 18:05:00-07:00,336
2026-03-30 18:10:00-07:00,314
2026-03-30 18:15:00-07:00,332
2026-03-30 18:20:00-07:00,314
2026-03-30 18:25:00-07:00,294
2026-03-30 18:30:00-07:00,335
2026-03-30 18:35:00-07:00,314
2026-03-30 18:40:00-07:00,304
2026-03-30 18:45:00-07:00,344
2026-03-30 18:50:00-07:00,323
2026-03-30 18:55:00-07:00,311
2026-03-30 19:00:00-07:00,300
2026-03-30 19:05:00-07:00,315
2026-03-30 19:10:00-07:00,315
2026-03-30 19:15:00-07:00,318
2026-03-30 19:20:00-07:00,323
2026-03-30 19:25:00-07:00,332
2026-03-30 19:30:00-07:00,327
2026-03-30 19:35:00-07:00,362
2026-03-30 19:40:00-07:00,330
2026-03-30 19:45:00-07:00,319
2026-03-30 19:50:00-07:00,306
2026-03-30 19:55:00-07:00,337
2026-03-30 20:00:00-07:00,316
2026-03-30 20:05:00-07:00,352
2026-03-30 20:10:00-07:00,319
2026-03-30 20:15:00-07:00,332
2026-03-30 20:20:00-07:00,322
2026-03-30 20:25:00-07:00,325
2026-03-30 20:30:00-07:00,349
2026-03-30 20:35:00-07:00,317
2026-03-30 20:40:00-07:00,335
2026-03-30 20:45:00-07:00,340
2026-03-30 20:50:00-07:00,344
2026-03-30 20:55:00-07:00,313
2026-03-30 21:00:00-07:00,308
2026-03-30 21:05:00-07:00,314
2026-03-30 21:10:00-07:00,334
2026-03-30 21:15:00-07:00,348
2026-03-30 21:20:00-07:00,283
2026-03-30 21:25:00-07:00,307
2026-03-30 21:30:00-07:00,303
2026-03-30 21:35:00-07:00,307
2026-03-30 21:40:00-07:00,302
2026-03-30 21:45:00-07:00,318
2026-03-30 21:50:00-07:00,335
2026-03-30 21:55:00-07:00,297
2026-03-30 22:00:00-07:00,303
2026-03-30 22:05:00-07:00,335
2026-03-30 22:10:00-07:00,341
2026-03-30 22:15:00-07:00,316
2026-03-30 22:20:00-07:00,327
2026-03-30 22:25:00-07:00,327
2026-03-30 22:30:00-07:00,324
2026-03-30 22:35:00-07:00,327
2026-03-30 22:40:00-07:00,313
2026-03-30 22:45:00-07:00,315
2026-03-30 22:50:00-07:00,321
2026-03-30 22:55:00-07:00,309
2026-03-30 23:00:00-07:00,324
2026-03-30 23:05:00-07:00,309
2026-03-30 23:10:00-07:00,345
2026-03-30 23:15:00-07:00,327
2026-03-30 23:20:00-07:00,294
2026-03-30 23:25:00-07:00,306
2026-03-30 23:30:00-07:00,319
2026-03-30 23:35:00-07:00,316
2026-03-30 23:40:00-07:00,303
2026-03-30 23:45:00-07:00,320
2026-03-30 23:50:00-07:00,323
2026-03-30 23:55:00-07:00,308
2026-03-31 00:00:00-07:00,320
2026-03-31 00:05:00-07:00,317
2026-03-31 00:10:00-07:00,315
2026-03-31 00:15:00-07:00,314
2026-03-31 00:20:00-07:00,291
2026-03-31 00:25:00-07:00,322
2026-03-31 00:30:00-07:00,321
2026-03-31 00:35:00-07:00,330
2026-03-31 00:40:00-07:00,315
2026-03-31 00:45:00-07:00,312
2026-03-31 00:50:00-07:00,320
2026-03-31 00:55:00-07:00,301
2026-03-31 01:00:00-07:00,327
2026-03-31 01:05:00-07:00,316
2026-03-31 01:10:00-07:00,331
2026-03-31 01:15:00-07:00,348
2026-03-31 01:20:00-07:00,327
2026-03-31 01:25:00-07:00,322
2026-03-31 01:30:00-07:00,331
2026-03-31 01:35:00-07:00,321
2026-03-31 01:40:00-07:00,295
2026-03-31 01:45:00-07:00,307
2026-03-31 01:50:00-07:00,324
2026-03-31 01:55:00-07:00,324
2026-03-31 02:00:00-07:00,319
2026-03-31 02:05:00-07:00,329
2026-03-31 02:10:00-07:00,344
2026-03-31 02:15:00-07:00,328
2026-03-31 02:20:00-07:00,310
2026-03-31 02:25:00-07:00,322
2026-03-31 02:30:00-07:00,329
2026-03-31 02:35:00-07:00,305
2026-03-31 02:40:00-07:00,315
2026-03-31 02:45:00-07:00,337
2026-03-31 02:50:00-07:00,329
2026-03-31 02:55:00-07:00,334
2026-03-31 03:00:00-07:00,334
2026-03-31 03:05:00-07:00,349
2026-03-31 03:10:00-07:00,316
2026-03-31 03:15:00-07:00,325
2026-03-31 03:20:00-07:00,308
2026-03-31 03:25:00-07:00,291
2026-03-31 03:30:00-07:00,326
2026-03-31 03:35:00-07:00,312
2026-03-31 03:40:00-07:00,323
2026-03-31 03:45:00-07:00,320
2026-03-31 03:50:00-07:00,328
2026-03-31 03:55:00-07:00,323
2026-03-31 04:00:00-07:00,329
2026-03-31 04:05:00-07:00,182
