timestamp,Canary DNS Errors,Checkout Timeouts (Stable),Other
2026-05-19 12:00:00+00:00,424,36,0
2026-05-19 12:05:00+00:00,409,26,0
2026-05-19 12:10:00+00:00,407,21,0
2026-05-19 12:15:00+00:00,430,30,0
2026-05-19 12:20:00+00:00,433,39,0
2026-05-19 12:25:00+00:00,436,28,0
2026-05-19 12:30:00+00:00,422,28,0
2026-05-19 12:35:00+00:00,432,28,0
2026-05-19 12:40:00+00:00,427,31,0
2026-05-19 12:45:00+00:00,427,32,0
2026-05-19 12:50:00+00:00,280,11,0
2026-05-19 13:20:00+00:00,0,0,13
2026-05-19 13:30:00+00:00,0,0,13
2026-05-19 14:30:00+00:00,1,0,0
2026-05-19 14:45:00+00:00,0,0,13
2026-05-19 15:20:00+00:00,0,0,13
2026-05-19 15:25:00+00:00,0,0,13
2026-05-19 15:30:00+00:00,0,0,26
2026-05-19 15:35:00+00:00,0,0,13
2026-05-19 16:10:00+00:00,1,0,13
2026-05-19 16:15:00+00:00,4,0,0
2026-05-19 16:20:00+00:00,383,34,0
2026-05-19 16:25:00+00:00,390,33,0
2026-05-19 16:30:00+00:00,353,28,0
2026-05-19 16:35:00+00:00,379,26,0
2026-05-19 16:40:00+00:00,369,35,0
2026-05-19 16:45:00+00:00,360,31,0
2026-05-19 16:50:00+00:00,373,38,0
2026-05-19 16:55:00+00:00,365,28,0
2026-05-19 17:00:00+00:00,389,31,0
2026-05-19 17:05:00+00:00,374,17,0
2026-05-19 17:10:00+00:00,370,28,0
2026-05-19 17:15:00+00:00,376,23,0
2026-05-19 17:20:00+00:00,381,34,0
2026-05-19 17:25:00+00:00,361,27,0
2026-05-19 17:30:00+00:00,388,31,0
2026-05-19 17:35:00+00:00,364,26,0
2026-05-19 17:40:00+00:00,365,35,0
2026-05-19 17:45:00+00:00,375,26,0
2026-05-19 17:50:00+00:00,381,30,0
2026-05-19 17:55:00+00:00,358,32,0
2026-05-19 18:00:00+00:00,378,25,0
2026-05-19 18:05:00+00:00,385,35,0
2026-05-19 18:10:00+00:00,362,24,0
2026-05-19 18:15:00+00:00,379,35,0
2026-05-19 18:20:00+00:00,390,36,0
2026-05-19 18:25:00+00:00,349,20,0
2026-05-19 18:30:00+00:00,367,0,0
2026-05-19 18:35:00+00:00,324,0,0
2026-05-19 18:40:00+00:00,329,0,0
2026-05-19 18:45:00+00:00,358,0,0
2026-05-19 18:50:00+00:00,296,0,0
2026-05-19 18:55:00+00:00,355,0,13
2026-05-19 19:00:00+00:00,327,0,0
2026-05-19 19:05:00+00:00,333,0,13
2026-05-19 19:10:00+00:00,226,0,0
2026-05-19 19:15:00+00:00,0,0,13
2026-05-19 19:40:00+00:00,0,0,13
2026-05-19 20:00:00+00:00,140,28,0
2026-05-19 20:05:00+00:00,179,29,0
2026-05-19 20:10:00+00:00,175,29,0
2026-05-19 20:15:00+00:00,39,21,0
2026-05-19 20:20:00+00:00,0,21,0
2026-05-19 20:25:00+00:00,0,27,0
2026-05-19 20:30:00+00:00,0,30,0
2026-05-19 20:35:00+00:00,0,24,0
2026-05-19 20:40:00+00:00,0,22,0
2026-05-19 20:45:00+00:00,0,26,0
2026-05-19 20:50:00+00:00,0,32,0
2026-05-19 20:55:00+00:00,0,21,0
2026-05-19 21:00:00+00:00,0,24,0
2026-05-19 21:05:00+00:00,0,36,0
2026-05-19 21:10:00+00:00,0,33,0
