time,value
2026-03-30 08:00:00-07:00,0
2026-03-30 08:05:00-07:00,252
2026-03-30 08:10:00-07:00,290
2026-03-30 08:15:00-07:00,250
2026-03-30 08:20:00-07:00,293
2026-03-30 08:25:00-07:00,281
2026-03-30 08:30:00-07:00,236
2026-03-30 08:35:00-07:00,333
2026-03-30 08:40:00-07:00,398
2026-03-30 08:45:00-07:00,387
2026-03-30 08:50:00-07:00,374
2026-03-30 08:55:00-07:00,385
2026-03-30 09:00:00-07:00,380
2026-03-30 09:05:00-07:00,372
2026-03-30 09:10:00-07:00,377
2026-03-30 09:15:00-07:00,390
2026-03-30 09:20:00-07:00,368
2026-03-30 09:25:00-07:00,359
2026-03-30 09:30:00-07:00,366
2026-03-30 09:35:00-07:00,176
2026-03-30 09:40:00-07:00,0
2026-03-30 09:45:00-07:00,0
2026-03-30 09:50:00-07:00,0
2026-03-30 09:55:00-07:00,0
2026-03-30 10:00:00-07:00,0
2026-03-30 10:05:00-07:00,0
2026-03-30 10:10:00-07:00,0
2026-03-30 10:15:00-07:00,0
2026-03-30 10:20:00-07:00,0
2026-03-30 10:25:00-07:00,0
2026-03-30 10:30:00-07:00,0
2026-03-30 10:35:00-07:00,5
2026-03-30 10:40:00-07:00,0
2026-03-30 10:45:00-07:00,0
2026-03-30 10:50:00-07:00,0
2026-03-30 10:55:00-07:00,0
2026-03-30 11:00:00-07:00,0
2026-03-30 11:05:00-07:00,0
2026-03-30 11:10:00-07:00,0
2026-03-30 11:15:00-07:00,0
2026-03-30 11:20:00-07:00,0
2026-03-30 11:25:00-07:00,0
2026-03-30 11:30:00-07:00,0
2026-03-30 11:35:00-07:00,0
2026-03-30 11:40:00-07:00,0
2026-03-30 11:45:00-07:00,0
2026-03-30 11:50:00-07:00,0
2026-03-30 11:55:00-07:00,0
2026-03-30 12:00:00-07:00,0
2026-03-30 12:05:00-07:00,0
2026-03-30 12:10:00-07:00,0
2026-03-30 12:15:00-07:00,0
2026-03-30 12:20:00-07:00,0
2026-03-30 12:25:00-07:00,0
2026-03-30 12:30:00-07:00,0
2026-03-30 12:35:00-07:00,0
2026-03-30 12:40:00-07:00,530
2026-03-30 12:45:00-07:00,689
2026-03-30 12:50:00-07:00,594
2026-03-30 12:55:00-07:00,644
2026-03-30 13:00:00-07:00,638
2026-03-30 13:05:00-07:00,691
2026-03-30 13:10:00-07:00,682
2026-03-30 13:15:00-07:00,610
2026-03-30 13:20:00-07:00,625
2026-03-30 13:25:00-07:00,636
2026-03-30 13:30:00-07:00,653
2026-03-30 13:35:00-07:00,699
2026-03-30 13:40:00-07:00,660
2026-03-30 13:45:00-07:00,653
2026-03-30 13:50:00-07:00,941
2026-03-30 13:55:00-07:00,579
2026-03-30 14:00:00-07:00,636
2026-03-30 14:05:00-07:00,2419
2026-03-30 14:10:00-07:00,1975
2026-03-30 14:15:00-07:00,1083
2026-03-30 14:20:00-07:00,1582
2026-03-30 14:25:00-07:00,942
2026-03-30 14:30:00-07:00,672
2026-03-30 14:35:00-07:00,629
2026-03-30 14:40:00-07:00,2365
2026-03-30 14:45:00-07:00,702
2026-03-30 14:50:00-07:00,657
2026-03-30 14:55:00-07:00,638
2026-03-30 15:00:00-07:00,708
2026-03-30 15:05:00-07:00,624
2026-03-30 15:10:00-07:00,597
2026-03-30 15:15:00-07:00,666
2026-03-30 15:20:00-07:00,644
2026-03-30 15:25:00-07:00,627
2026-03-30 15:30:00-07:00,638
2026-03-30 15:35:00-07:00,620
2026-03-30 15:40:00-07:00,603
2026-03-30 15:45:00-07:00,668
2026-03-30 15:50:00-07:00,691
2026-03-30 15:55:00-07:00,564
2026-03-30 16:00:00-07:00,685
2026-03-30 16:05:00-07:00,604
2026-03-30 16:10:00-07:00,640
2026-03-30 16:15:00-07:00,706
2026-03-30 16:20:00-07:00,676
2026-03-30 16:25:00-07:00,645
2026-03-30 16:30:00-07:00,592
2026-03-30 16:35:00-07:00,624
2026-03-30 16:40:00-07:00,606
2026-03-30 16:45:00-07:00,640
2026-03-30 16:50:00-07:00,650
2026-03-30 16:55:00-07:00,644
2026-03-30 17:00:00-07:00,646
2026-03-30 17:05:00-07:00,602
2026-03-30 17:10:00-07:00,684
2026-03-30 17:15:00-07:00,651
2026-03-30 17:20:00-07:00,614
2026-03-30 17:25:00-07:00,624
2026-03-30 17:30:00-07:00,642
2026-03-30 17:35:00-07:00,614
2026-03-30 17:40:00-07:00,634
2026-03-30 17:45:00-07:00,598
2026-03-30 17:50:00-07:00,668
2026-03-30 17:55:00-07:00,576
2026-03-30 18:00:00-07:00,636
2026-03-30 18:05:00-07:00,676
